QuestionNumber|QuizQuestion|Option1|Option2|Option3|Option4|Answer
27|Which loop is most suitable when the number of iterations is known beforehand in C++?|A) while loop|B) for loop|C) do...while loop|D) switch loop|B
28|What is the general syntax of a for loop in C++?|A) for (initialization; condition; update) { statements; }|B) for (initialization; condition) { statements; }|C) for (condition; update) { statements; }|D) for (expression) { statements; }|A
29|What is the primary purpose of a function prototype in C++?|A) Define the body of a function|B) Declare a function before it is defined|C) Declare variables inside a function|D) Specify the return type of a function|B
30|By default, how are parameters passed to a function in C++?|A) By value|B) By reference|C) By pointer|D) By name|A
31|What does the default behavior of passing parameters by value in C++ entail?|A) Changes to parameters inside the function affect original values|B) Original values are copied into function parameters|C) References to original values are passed|D) Pointers to original values are passed|B
32|What is the purpose of a function prototype in C++?|A) To declare variables inside a function|B) To define the body of a function|C) To specify the return type of a function|D) To declare a function before it is defined|D
33|Which loop structure is useful when you need to execute a statement at least once in C++?|A) while loop|B) for loop|C) do...while loop|D) switch loop|C
34|In C++, what kind of values are considered false in condition evaluation?|A) Values greater than zero|B) Values less than zero|C) Zero-valued expressions|D) Non-integer expressions|C
35|What is the primary purpose of the switch statement in C++?|A) Execute a statement if a condition is true|B) Execute a statement if a condition is false|C) Provide an alternate syntax for if-else statements|D) Choose among several actions based on the value of an expression|D
36|What is the role of the preprocessor directives in a C++ program?|A) Modify the behavior of the compiler|B) Execute program statements sequentially|C) Define hardware components|D) Declare variables|A
37|Which preprocessor directive is used to include standard input/output library in a C++ program?|A) #include <iostream>|B) #include <stdio.h>|C) #include <cstdlib>|D) #include <cstring>|A
38|In C++, what happens if no break statement is included in a case of a switch structure?|A) The program stops execution|B) It causes a compilation error|C) Control falls through to the next case|D) It executes the default case|C
39|What is the primary purpose of the cin and cout objects in C++?|A) To perform arithmetic operations|B) To handle file input/output|C) To manipulate strings|D) To read from and write to the standard input/output streams|D
40|What is the purpose of the break statement in a switch structure?|A) To exit the loop|B) To skip the current iteration|C) To jump to the next case|D) To exit the switch structure|D
41|In C++, what does the following statement achieve: list[5] = list[3] + list[6];?|A) It initializes the array list with values|B) It calculates the sum of elements at indices 3 and 6|C) It assigns the value of index 3 to index 5|D) It assigns the value of index 6 to index 5|B
42|Which loop is best suited for situations where the number of repetitions is known in advance?|A) while loop|B) for loop|C) do...while loop|D) if-else loop|B
43|What is the primary difference between a while loop and a do...while loop in C++?|A) The while loop always executes at least once|B) The do...while loop does not have a loop condition|C) The while loop has an exit condition at the end|D) The do...while loop does not support nested loops|A
44|What is the general form of a for loop in C++?|A) for (initialization; condition; update)|B) for (condition; update; initialization)|C) for (update; condition; initialization)|D) for (condition; initialization; update)|A
45|What is the syntax for declaring a one-dimensional array in C++?|A) int num[5];|B) int[num];|C) int num();|D) int[] num;|A
46|What is the significance of the index in an array?|A) It specifies the data type of the array|B) It determines the size of the array|C) It specifies the position of a component in the array|D) It initializes the array|C
47|How are arrays initialized during declaration in C++?|A) By specifying the array size and values within braces|B) By providing only the array size|C) By using the new keyword|D) By declaring the data type of the array|A
48|Which of the following statements is illegal in C++ when working with arrays?|A) int list[10] = {0};|B) int list[10] = {8, 5, 12};|C) int list[];|D) int list[10];|C
49|What is the purpose of a two-dimensional array?|A) To store data of different data types|B) To store data in a single dimension|C) To arrange data in two dimensions|D) To perform aggregate operations|C
50|How are two-dimensional arrays declared in C++?|A) int[rows][columns] arr;|B) int arr[rows][columns];|C) int arr[][];|D) int arr[];|B
51|How can two-dimensional arrays be initialized in C++?|A) By specifying the number of rows and columns within braces|B) By providing values for each element of the array|C) By using the new keyword|D) By declaring the data type of the array|B
52|What is the purpose of reference parameters in C++ functions?|A) To make a copy of the actual parameter|B) To access the memory address of the actual parameter|C) To avoid passing parameters by value|D) To declare the data type of the parameter|B
53|When are reference parameters useful in C++ functions?|A) When you want to change the actual parameter|B) When you want to declare multiple parameters|C) When you want to return multiple values from a function|D) When you want to avoid passing parameters by reference|A
54|How are arrays passed to functions in C++?|A) By value|B) By reference|C) By pointer|D) By name|B
55|What is the role of the '&' symbol in C++ reference parameters?|A) It specifies the data type of the parameter|B) It indicates that the parameter is passed by value|C) It accesses the memory address of the actual parameter|D) It defines the size of the parameter|C
56|In C++, what happens when you manipulate a value parameter within a function?|A) The actual parameter changes|B) The function returns the manipulated value|C) The function terminates|D) The actual parameter remains unchanged|D
57|Which type of parameter is useful when you want to change the actual parameter in a function?|A) Value parameter|B) Reference parameter|C) Pointer parameter|D) Constant parameter|B
58|Why are arrays passed by reference in C++ functions?|A) To save memory space|B) To make a copy of the array|C) To avoid passing parameters by value|D) To increase execution time|A
59|What happens if the size of an array is provided as a formal parameter in a C++ function?|A) It determines the size of the array|B) It is used to initialize the array|C) It is ignored by the compiler|D) It may lead to a compile-time error|C
60|What is the primary difference between a class and a structure in C++?|A) Classes are secure and can hide implementation details, while structures cannot|B) Structures are private by default, while classes are public by default|C) Classes represent objects with methods and encapsulation, while structures are used for grouping data members|D) Structures can have constructors and destructors, while classes cannot|C
61|What is the purpose of a constructor in C++ classes?|A) To delete objects properly|B) To initialize objects upon creation|C) To free dynamic memory|D) To perform program housekeeping|B
62|How is a destructor defined in a C++ class?|A) By using the keyword 'destroy' followed by the class name|B) By using the class name followed by a colon|C) By using the character '~' followed by the class name|D) By using the keyword 'delete' followed by the class name|C
63|What happens if a class does not define its own destructor in C++?|A) The compiler generates a default destructor|B) The class cannot be instantiated|C) The destructor must be explicitly called in the main function|D) It results in a compilation error|A
64|How is an object's constructor automatically called in C++?|A) By using the 'new' keyword|B) By invoking the destructor|C) When the object goes out of scope|D) Upon the object's creation|D
65|What does the 'this' pointer refer to in C++ classes?|A) It refers to the base class|B) It refers to the derived class|C) It refers to the current object|D) It refers to the static members of the class|C
66|When is a class destructor automatically executed in C++?|A) When the class object is created|B) When the class object goes out of scope|C) When the class is declared|D) When the class inherits from another class|B
67|What is the purpose of overloading a constructor in C++?|A) To create multiple instances of the same class|B) To allow dynamic memory allocation|C) To initialize objects with different parameters|D) To delete objects properly|C
68|How are objects created using a constructor in C++?|A) By calling the constructor explicitly|B) By using the 'delete' keyword|C) By invoking the class name followed by parentheses|D) By using the 'new' keyword|C
69|What is the significance of static member variables in C++ classes?|A) They exist only when an object of the class is created|B) They are accessible using the 'this' pointer|C) They are shared among all objects of the class|D) They are initialized by the destructor|C
70|What is the syntax for accessing a static member variable of a class in C++?|A) class_name::variable_name|B) class_name.variable_name|C) class_name->variable_name|D) variable_name::class_name|A
71|When are reference parameters useful in C++ functions?|A) When you want to change the actual parameter|B) When you want to declare multiple parameters|C) When you want to return multiple values from a function|D) When you want to avoid passing parameters by reference|A
72|What is the purpose of passing an object by reference in C++?|A) To save memory space|B) To make a copy of the object|C) To avoid passing parameters by value|D) To increase execution time|C
73|How are arrays of class objects created in C++?|A) By using the 'new' keyword|B) By specifying the array size and values within braces|C) By invoking the class constructor with subscript notation|D) By declaring an array of class pointers|B
74|What is the role of the '&' symbol in C++ reference parameters?|A) It specifies the data type of the parameter|B) It indicates that the parameter is passed by value|C) It accesses the memory address of the actual parameter|D) It defines the size of the parameter|C
75|What is the purpose of a structure in C++?|A) To model objects with methods and encapsulation|B) To represent records and group heterogeneous data members|C) To create secure data types|D) To define constructors and destructors|B
76|What happens when an object is assigned to another object in C++?|A) The objects become independent copies of each other|B) The objects share the same memory space|C) The object's destructor is called|D) The object's constructor is called|B
77|How is a structure different from a class in C++?|A) Structures are not secure, while classes are secure|B) Structures have private members by default, while classes have public members|C) Structures can have constructors and destructors, while classes cannot|D) Structures are used for grouping data members, while classes represent objects with methods and encapsulation|D
78|What is the default access level for members of a class in C++?|A) Public|B) Protected|C) Private|D) Static|C
79|What is the purpose of the scope resolution operator (::) in C++?|A) To access static member variables|B) To access member functions outside the class definition|C) To specify the data type of a variable|D) To define the size of an array|B
80|What does a pointer store in C++?|A) Memory address|B) Variable value|C) Data type|D) Function reference|A
81|What is the purpose of the asterisk (*) in C++ pointer declarations?|A) Multiply values|B) Indirection|C) Define data type|D) Declare pointers|B
82|How are pointer variables initialized in C++?|A) Using nullptr|B) Automatically|C) Must be explicitly initialized|D) Using new keyword|C
83|Which operator is used to obtain the memory address of a variable in C++?|A) &|B) *|C) ->|D) ::|A
84|What is the role of the dereferencing operator (*) in C++?|A) Accessing memory address|B) Defining data types|C) Indirectly accessing value at an address|D) Declaring pointers|C
85|What happens when you pass a pointer to a function in C++?|A) Value is copied|B) Memory address is copied|C) Function is executed|D) Variable is destroyed|B
86|How can you access the value pointed to by a pointer in C++?|A) Using the dot operator|B) Using the arrow operator|C) Using the asterisk operator|D) Using the ampersand operator|C
87|What is the purpose of the arrow operator (->) in C++?|A) Accessing memory address|B) Defining data types|C) Indirectly accessing members of a class or struct via a pointer|D) Declaring pointers|C
88|What is the difference between static and dynamic memory allocation in C++?|A) Static allocation occurs at runtime, while dynamic allocation occurs at compile time|B) Static allocation is managed by the programmer, while dynamic allocation is automatic|C) Static allocation involves fixed-size memory, while dynamic allocation allows variable-size memory|D) Static allocation is slower than dynamic allocation|C
89|How do you deallocate dynamic memory in C++?|A) Using the delete keyword|B) Automatically|C) Using nullptr|D) By setting variables to NULL|A
90|What is a dangling pointer in C++?|A) A pointer that points to a valid memory address|B) A pointer that points to a memory address that has been deallocated|C) A pointer that is uninitialized|D) A pointer that is declared but never used|B
91|How do you prevent memory leaks in C++?|A) By avoiding the use of pointers|B) By using only static memory allocation|C) By explicitly deallocating dynamic memory when no longer needed|D) By increasing the stack size|C
92|What is the default value of a pointer in C++ if it is not initialized?|A) 0|B) nullptr|C) Undefined|D) Depends on the compiler|C
93|What is the significance of setting a pointer to nullptr after deallocating memory?|A) Prevents memory leaks|B) Releases the memory immediately|C) Invalidates the pointer|D) Ensures the pointer points to a valid memory address|A
94|What is the purpose of the new keyword in C++?|A) Allocates memory for dynamic variables|B) Defines new data types|C) Initializes static variables|D) Reserves memory for arrays|A
95|What is the role of the delete keyword in C++?|A) Allocates memory|B) Deallocates memory|C) Copies memory|D) Initializes memory|B
96|Which segment of the address space in a program holds dynamic variables?|A) Code segment|B) Data segment|C) Stack|D) Heap|D
97|What does the expression (*ptr).value() in C++ represent?|A) Dereferencing a pointer|B) Accessing a member function via a pointer|C) Accessing a data member via a pointer|D) Initializing a pointer|B
98|What does the expression ptr->value() in C++ represent?|A) Dereferencing a pointer|B) Accessing a member function via a pointer|C) Accessing a data member via a pointer|D) Initializing a pointer|C
99|How does C++ ensure type safety when using pointers?|A) By restricting pointer arithmetic|B) By automatically initializing pointers|C) By disallowing pointers altogether|D) By enforcing strict naming conventions|A
100|What is the significance of the ampersand (&) operator in C++?|A) Returns the memory address of a variable|B) Indicates a reference variable|C) Denotes the size of a variable|D) Represents the bitwise AND operation|A
101|What is the purpose of linked lists?|A) To store data in contiguous memory blocks|B) To organize and process data in memory|C) To provide fast random access to elements|D) To eliminate the need for pointers|B
102|What is a key advantage of array lists over linked lists?|A) Fixed array size|B) Slow insertion operations|C) Fast random access|D) Limited memory usage|C
103|Which data structure allows for fast random access to any element?|A) Linked list|B) Array list|C) Stack|D) Queue|B
104|What component does every node in a linked list (except the last) contain?|A) Data|B) Pointer to the previous node|C) Link to the next node|D) Head pointer|C
105|What does the NULL link field in the last node of a linked list indicate?|A) The end of the list|B) A circular reference|C) The presence of a loop|D) An empty list|A
106|Which pointer allows access to the elements of a linked list?|A) Current pointer|B) Head pointer|C) Last pointer|D) Node pointer|B
107|How can the number of elements in a linked list be determined?|A) By accessing the head node|B) By counting the number of NULL links|C) By traversing the entire list|D) By using an index variable|C
108|What does a head variable in a linked list store?|A) Address of the last node|B) Address of the previous node|C) Address of the first node|D) Address of the current node|C
109|Why is it necessary to create a new node in the heap when inserting into a linked list?|A) To conserve memory|B) To avoid memory leaks|C) To simplify the code|D) To speed up insertion|B
110|What happens if a new node is created in the stack during insertion?|A) Memory leak occurs|B) Stack overflow error|C) Dangling pointer issue|D) Memory fragmentation|C
111|What is the primary purpose of the destructor in a linked list class?|A) To create new nodes|B) To prevent memory leaks|C) To access list elements|D) To manage stack memory|B
112|Which operation is used to calculate the size of a linked list?|A) getSize()|B) insert()|C) clear()|D) traverse()|A
113|Which method is used to clear a linked list?|A) delete()|B) clear()|C) remove()|D) empty()|B
114|How can the size of a linked list be updated during insertion?|A) By subtracting from the current size|B) By adding to the current size|C) By multiplying the current size|D) By dividing the current size|B
115|What does the size field in a linked list data structure represent?|A) Number of nodes in the list|B) Total memory allocated|C) Size of each node|D) Index of the last node|A
116|What happens if a linked list is not properly cleared?|A) Memory leak occurs|B) Stack overflow error|C) Dangling pointer issue|D) Index out of bounds error|A
117|Which operation is used to access list elements by index?|A) getSize()|B) insert()|C) get()|D) traverse()|C
118|What is the primary advantage of using a linked list over an array list?|A) Fast random access|B) Fixed array size|C) Flexible size|D) Sequential access|C
119|What operation is necessary to determine if an item is in the list?|A) getSize()|B) insert()|C) search()|D) delete()|C
120|Which component of a linked list node stores relevant information?|A) Link|B) Pointer|C) Data|D) Index|C
121|What operation determines the existence of an item in a linked list?|A) Add|B) Search|C) Remove|D) Sort|B
122|What is the key field parameter in a linked list search function?|A) Index|B) Value|C) Size|D) Length|B
123|What is the time complexity for accessing an element at a given index in a linked list?|A) O(1)|B) O(log n)|C) O(n)|D) O(n^2)|C
124|What method is used to get the element's info at a given index?|A) getItemAt|B) getItemInfo|C) accessItem|D) getElement|A
125|How is the first element deleted in a linked list?|A) deleteStart|B) removeFirst|C) deleteFirst|D) removeStart|C
126|How is the last element deleted in a linked list?|A) deleteEnd|B) removeLast|C) deleteLast|D) removeEnd|A
127|What method is used to delete an item at an arbitrary index in a linked list?|A) deleteItemAt|B) removeItem|C) deleteItem|D) removeItemAt|D
128|What is the time complexity for deleting an item at an arbitrary index in a linked list?|A) O(1)|B) O(log n)|C) O(n)|D) O(n^2)|C
129|What is the primary purpose of the link field in a linked list node?|A) Store data|B) Identify node|C) Point to the next node|D) Store index|C
130|What happens if an attempt is made to access an element at an index beyond the bounds of the linked list?|A) Index out of range error|B) Null pointer exception|C) Memory leak|D) Index out of bound|A231|When traversing a linked list, what is compared with the desired value to search for an item?|A) Index|B) Pointer|C) Info|D) Size|C
131| When traversing a linked list, what is compared with the desired value to search for an item?|A) Index|B) Pointer|C) Info|D) Size|C
132|What type of error may occur if a new node is created in the stack during insertion?|A) Memory leak|B) Stack overflow error|C) Dangling pointer issue|D) Memory fragmentation|C
133|What is the time complexity for deleting the last item in a linked list?|A) O(1)|B) O(log n)|C) O(n)|D) O(n^2)|C
134|Linked lists can be used to implement a queue data structure efficiently.|A) True|B) False|A
135|What modification is required in the constructor of a linked list to accommodate efficient insertion at the end?|A) Initializing size to 1|B) Setting head to NULL|C) Initializing tail to NULL|D) Allocating memory for a new node|C
136|In a linked list, which operation's efficiency is not improved by using a tail pointer?|A) Inserting at the beginning|B) Deleting from the beginning|C) Inserting at the end|D) Deleting from the end|A
137|Which method allows reversed traversal of a linked list using recursion?|A) printReverse()|B) traverseBackward()|C) reverseTraversal()|D) backwardPrint()|A
138|Which approach is more efficient for reversed traversal of a linked list?|A) Using a nested loop|B) Using recursion|C) Using a doubly linked list|D) Using an array|B
139|What is the main advantage of using doubly linked lists?|A) Efficient insertion at the beginning|B) Efficient traversal in both directions|C) Reduced memory consumption|D) Simplified implementation of insertions|B
140|What application can benefit from the use of doubly linked lists?|A) Implementing a stack|B) Implementing a queue|C) Implementing back and forward buttons in a web browser|D) Implementing a binary search tree|C
141|How can doubly linked lists improve traversal to reach an item at a given index?|A) By starting from the middle|B) By starting from the end|C) By starting from both ends simultaneously|D) By using a recursive approach|C
142|Which data structure is suitable for implementing back and forward buttons in a web browser?|A) Singly linked list|B) Doubly linked list|C) Circular linked list|D) Array|B
143|What characteristic distinguishes a circular linked list from a normal linked list?|A) It stores NULL at the end node|B) It has a limited number of elements|C) Its last node points to the first node|D) It allows bidirectional traversal|C
144|What operation must be handled differently in a circular linked list compared to a normal linked list?|A) Insertion at the beginning|B) Deletion from the beginning|C) Insertion at the end|D) Deletion from the end|A
145|Which operation's efficiency does not improve significantly in a circular linked list compared to a normal linked list?|A) Traversal|B) Insertion at the beginning|C) Insertion at the end|D) Deletion from the end|A
146|What modification is necessary in a circular linked list's insertion at the beginning compared to a normal linked list?|A) Initializing head to NULL|B) Allocating memory for a new node|C) Setting the tail pointer to the new node|D) Making the last node point to the new node|D
147|What operation is performed differently in a circular doubly linked list compared to a circular linked list?|A) Traversal|B) Insertion at the beginning|C) Deletion from the beginning|D) Insertion at the end|B
148|Which factor is critical in determining whether to use an array or a linked list?|A) Time complexity of operations|B) Length of the code|C) Availability of memory|D) Ease of implementation|A
149|When is a linked list preferred over an array?|A) When dynamic addition and expansion are required|B) When lots of random access is necessary|C) When searching and items are unsorted|D) When memory consumption is a concern|A
150|What operation is efficient in a circular doubly linked list compared to a circular linked list?|A) Traversal from beginning to end|B) Traversal from end to beginning|C) Insertion at the beginning|D) Insertion at the end|C
151|Which operation requires modifications in both insertion and deletion methods when implementing a circular doubly linked list?|A) Insertion at the beginning|B) Insertion at the end|C) Deletion from the beginning|D) Deletion from the end|D
152|What is a significant advantage of circular doubly linked lists?|A) Efficient memory utilization|B) Ability to store a large number of elements|C) Natural implementation of round-robin scheduling|D) Bidirectional traversal efficiency|D
153|What operation is performed differently in a circular doubly linked list compared to a circular linked list?|A) Traversal|B) Insertion at the beginning|C) Deletion from the beginning|D) Insertion at the end|B
154|Which factor is critical in determining whether to use an array or a linked list?|A) Time complexity of operations|B) Length of the code|C) Availability of memory|D) Ease of implementation|A
155|When is a linked list preferred over an array?|A) When dynamic addition and expansion are required|B) When lots of random access is necessary|C) When searching and items are unsorted|D) When memory consumption is a concern|A
156|What operation is efficient in a circular doubly linked list compared to a circular linked list?|A) Traversal from beginning to end|B) Traversal from end to beginning|C) Insertion at the beginning|D) Insertion at the end|C
157|Which operation requires modifications in both insertion and deletion methods when implementing a circular doubly linked list?|A) Insertion at the beginning|B) Insertion at the end|C) Deletion from the beginning|D) Deletion from the end|D
158|What is a significant advantage of circular doubly linked lists?|A) Efficient memory utilization|B) Ability to store a large number of elements|C) Natural implementation of round-robin scheduling|D) Bidirectional traversal efficiency|D
159|What application can benefit from the use of doubly linked lists?|A) Implementing a stack|B) Implementing a queue|C) Implementing back and forward buttons in a web browser|D) Implementing a binary search tree|C
160|How can doubly linked lists improve traversal to reach an item at a given index?|A) By starting from the middle|B) By starting from the end|C) By starting from both ends simultaneously|D) By using a recursive approach|C
161|What operation in a stack adds an element onto the stack?|A) top|B) push|C) pop|D) isEmpty|B
162|In the context of stack operations, what does the top operation do?|A) Removes the top element from the stack|B) Adds an element onto the stack|C) Peeks at the top element of the stack without removing it|D) Checks if the stack is empty|C
163|Which application utilizes the stack concept for parentheses matching?|A) Sorting algorithms|B) Parentheses balancing|C) Searching algorithms|D) String manipulation|B
164|What is the expected behavior of the isEmpty operation in a stack?|A) It returns true if the stack is full|B) It returns true if the stack is not empty|C) It returns true if the stack is empty|D) It returns true if the stack is balanced|C
165|What algorithm is used for parentheses matching?|A) Depth-first search|B) Breadth-first search|C) Greedy algorithm|D) Stack-based algorithm|D
166|How is the stack data structure represented using arrays?|A) Elements are stored in a linked list|B) Elements are stored in a circular buffer|C) Elements are stored in a two-dimensional array|D) Elements are stored in a one-dimensional array|D
167|Which operation checks if the stack is empty?|A) isEmpty|B) push|C) pop|D) top|A
168|What is the purpose of the pop operation in a stack?|A) To add an element onto the stack|B) To peek at the top element of the stack|C) To remove the top element from the stack|D) To check if the stack is empty|C
169|In which application is the infix to postfix evaluation method used?|A) Database management|B) Compiler design|C) Graphics rendering|D) Network routing|B
170|How is the stack data structure represented using linked nodes?|A) Elements are stored in an array|B) Elements are stored in a tree structure|C) Elements are stored in linked nodes|D) Elements are stored in a hash table|C
171|What is the purpose of the infix to postfix evaluation method?|A) To convert arithmetic expressions from postfix to infix notation|B) To convert arithmetic expressions from infix to postfix notation|C) To evaluate arithmetic expressions in postfix notation|D) To evaluate arithmetic expressions in infix notation|B
172|Which operation is used to add an element onto the stack?|A) top|B) push|C) pop|D) isEmpty|B
173|What is the key characteristic of a stack data structure?|A) First In First Out (FIFO)|B) Last In First Out (LIFO)|C) Random access|D) Bidirectional access|B
174|Which operation removes the top element from the stack?|A) top|B) push|C) pop|D) isEmpty|C
175|In postfix evaluation, what is done when an operand is encountered?|A) It is outputted immediately|B) It is pushed onto the stack|C) It is popped from the stack|D) It is added to the top of the stack|B
176|What does the acronym LIFO stand for in the context of stacks?|A) Last In First Out|B) Lost In First Out|C) Last In Fifth Out|D) Last Into First Out|A
177|Which of the following is NOT a standard operation of a stack?|A) push|B) add|C) pop|D) top|B
178|Which data structure is used to implement a stack using a linked list?|A) Array|B) Queue|C) Tree|D) Graph|C
179|What happens when a right parenthesis is encountered in parentheses matching and the stack is empty?|A) The right parenthesis is added to the stack|B) An error is raised|C) The right parenthesis
180|In the infix to postfix evaluation algorithm, what is done when a closing parenthesis is encountered?|A) All operators in the stack are popped until an opening parenthesis is encountered|B) All operands in the stack are popped until a closing parenthesis is encountered|C) The closing parenthesis is pushed onto the stack|D) The algorithm terminates|A
181|What is a queue in data structures?|A) A list of homogeneous elements|B) A list of heterogeneous elements|C) A list of elements added at the front|D) A list of elements deleted from the front|A
182|What is the characteristic feature of a FIFO data structure?|A) Elements are added at the back|B) Elements are added at the front|C) Elements are deleted from the back|D) Elements are deleted from the front|D
183|In a queue, how are elements added and deleted?|A) Added at the front, deleted from the back|B) Added at the back, deleted from the front|C) Added at the front, deleted from the front|D) Added at the back, deleted from the back|B
184|What is a common real-life example of a queue?|A) A stack of books|B) A group of people waiting in line|C) A random collection of items|D) A pool of resources|B
185|What is a priority queue?|A) A queue where elements are added based on priority|B) A queue with fixed size|C) A queue where elements are added randomly|D) A queue where elements are added alphabetically|A
186|What are the standard operations in a queue?|A) addQueue, removeQueue, isEmpty|B) addQueue, deleteQueue, isFull|C) addQueue, deleteQueue, isEmpty|D) addQueue, deleteFront, deleteRear|C
187|How is a queue implemented using arrays?|A) Elements are added using a rear index|B) Elements are added using a front index|C) Elements are removed using a rear index|D) Elements are removed using a front index|A
188|What issue arises with a fixed-size array implementation of a queue?|A) Memory leaks|B) Dangling pointers|C) Queue overflow|D) Circular array handling|C
189|How is a queue implemented using linked lists?|A) Elements are added at the beginning|B) Elements are added at the end|C) Elements are removed from the beginning|D) Elements are removed from the end|B
190|What are the four data members of a queue implemented using arrays?|A) Array, front index, rear index, maximum size|B) Array, front index, rear index, count|C) Linked nodes, front pointer, rear pointer, count|D) Array, head pointer, tail pointer, size|B
191|How is a new element added to the end of a queue implemented using arrays?|A) Advance front index|B) Advance rear index|C) Add element at front index|D) Add element at rear index|B
192|How is the size of a queue determined in the linked list implementation?|A) By the number of elements|B) By the maximum capacity|C) By the front pointer|D) By the rear pointer|A
193|What does the deleteQueue operation in a queue return?|A) The first element|B) The last element|C) The middle element|D) The highest priority element|A
194|In the linked list implementation, what is stored in the queueRear pointer?|A) Address of the first node|B) Address of the last node|C) Number of elements|D) Address of the next node|B
195|How is the count variable used to determine if a queue is empty?|A) Incremented when an element is added|B) Decremented when an element is added|C) Incremented when an element is removed|D) Decremented when an element is removed|C
196|What is the purpose of the lastOpAddQ boolean variable in queue implementation?|A) To track the last operation performed|B) To determine the queue size|C) To check if the queue is full|D) To indicate if an element was recently added|D
197|What is the role of the count variable in queue implementation?|A) To store the maximum capacity|B) To track the last operation performed|C) To indicate the number of elements|D) To determine if the queue is full|C
198|How is memory deallocated to avoid dangling pointers in queue implementation?|A) Using deleteFront operation|B) Using deleteRear operation|C) Using the delete operator|D) Using the new operator|C
199|Which operator creates dynamic variables in queue implementation?|A) delete|B) deleteFront|C) new|D) newFront|C
200|In the provided code snippet, what is the purpose of the system("pause") statement?|A) To pause the program execution|B) To clear the screen|C) To wait for user input|D) To display a message|C
201|What type of data structure is suitable for hierarchically organized data items?|A) Linked lists|B)Trees|C)Stacks|D)Queues|B
202|What is the top-level node in a tree called?|A) Parent|B) Leaf|C) Root|D) Child|C
203|What do you call nodes at the same level in a tree?|A) Descendants|B) Parents|C) Siblings|D) Leaves|C
